Name,Age,Nationality,Overall,Club,ClubName,ClubTop20,WageK,PreferredFoot,Position
J. Cranston,24,Wales,62,Morecambe,Others,No,2,Left,MidField
O. Sangante,27,Senegal,62,La Berrichonne de Châteauroux,Others,No,1,Right,MidField
G. Williams,25,England,62,Milton Keynes Dons,Others,No,3,Right,Defence
I. McShane,25,Scotland,62,St. Mirren,Others,No,2,Right,MidField
E. Maanane,23,France,61,Grenoble Foot 38,Others,No,1,Right,Forward
F. Coloccini,36,Argentina,72,San Lorenzo de Almagro,Others,No,10,Right,Defence
J. Mercier,38,Argentina,72,Atlético Tucumán,Others,No,6,Right,MidField
L. Ridgewell,33,England,69,Portland Timbers,Others,No,4,Left,Defence
R. Pasveer,34,Netherlands,69,Vitesse,Others,No,5,Right,GoalKeeper
M. Bogado,33,Argentina,69,Club Atlético Huracán,Others,No,7,Right,MidField
Y. Al Mosailem,34,Saudi Arabia,68,Al Ahli,Others,No,11,Right,GoalKeeper
S. Sutter,32,Switzerland,67,Orlando City SC,Others,No,3,Right,Defence
S. Sinovic,31,United States,66,Sporting Kansas City,Others,No,2,Left,Defence
D. Arreola,32,Mexico,66,Puebla FC,Others,No,3,Left,Defence
M. de Jong,31,Canada,66,Vancouver Whitecaps FC,Others,No,2,Left,Defence
C. Almeida,28,Uruguay,65,Defensa y Justicia,Others,No,3,Left,Defence
S. Barry,28,United States,65,Real Salt Lake,Others,No,2,Right,Defence
T. Ricketts,30,Canada,64,Toronto FC,Others,No,2,Right,Forward
F. Darwish,26,Saudi Arabia,64,Al Wehda,Others,No,5,Right,Defence
Jin Taiyan,28,China PR,63,Beijing Sinobo Guoan FC,Others,No,4,Right,Defence
B. Kraev,21,Bulgaria,62,FC Midtjylland,Others,No,3,Right,MidField
M. Gallegos,21,Argentina,61,Unión de Santa Fe,Others,No,2,Right,Forward
M. Hosseini,22,Iran,61,Trabzonspor,Others,No,4,Right,Defence
M. Robinson,21,United States,61,Atlanta United,Others,No,1,Right,Defence
J. Allen,23,United States,61,Real Salt Lake,Others,No,1,Right,Forward
H. Wingo,22,United States,61,Seattle Sounders FC,Others,No,1,Right,MidField
O. Ural,21,Turkey,60,Kasimpa?a SK,Others,No,1,Right,Defence
V. Arboleda,21,Colombia,60,Portland Timbers,Others,No,1,Right,Forward
A. Barreal,17,Argentina,59,Vélez Sarsfield,Others,No,1,Left,Forward
M. Bird,17,England,57,Derby County,Others,No,3,Left,MidField
Che Shiwei,21,China PR,59,Hebei China Fortune FC,Others,No,2,Left,MidField
N. Townsend,23,England,62,Newport County,Others,No,1,Right,GoalKeeper
B. Garratt,24,England,62,Crewe Alexandra,Others,No,2,Right,GoalKeeper
R. Hunt,22,England,61,Oldham Athletic,Others,No,2,Right,Defence
K. Knoyle,21,England,61,Swindon Town,Others,No,2,Right,Defence
N. Baxter,19,England,61,Yeovil Town,Others,No,1,Right,GoalKeeper
B. Halliday,22,England,61,Cambridge United,Others,No,2,Right,Defence
S. Mbakata,20,France,61,FC Sochaux-Montbéliard,Others,No,1,Right,Defence
C. Randall,22,England,61,Rochdale,Others,No,1,Right,Defence
G. Edmundson,20,England,60,Oldham Athletic,Others,No,2,Right,Defence
S. Fraser,23,Scotland,60,Burton Albion,Others,No,2,Left,MidField
C. Cooke,21,England,60,Peterborough United,Others,No,1,Right,MidField
M. Merghem,20,France,60,La Berrichonne de Châteauroux,Others,No,1,Right,Forward
C. Lewis,21,New Zealand,60,Scunthorpe United,Others,No,1,Left,MidField
J. Romil,23,France,60,Valenciennes FC,Others,No,1,Right,Forward
J. Jones,22,Scotland,60,Crewe Alexandra,Others,No,3,Right,MidField
S. Bougrine,21,Morocco,60,Paris FC,Others,No,1,Right,MidField
M. Bokoum,18,Belgium,60,AS Béziers,Others,No,1,Left,MidField
K. Monlouis,22,England,60,Hamilton Academical FC,Others,No,1,Right,MidField
C. McGrandles,22,Scotland,60,Milton Keynes Dons,Others,No,2,Right,MidField
Paulo Vítor,29,Brazil,63,Rio Ave FC,Others,No,2,Right,GoalKeeper
L. Barreiro Martins,18,Luxembourg,58,1. FSV Mainz 05,Others,No,2,Right,MidField
S. Duke-McKenna,17,England,58,Bolton Wanderers,Others,No,1,Right,MidField
D. ?ncedere,21,Turkey,58,Galatasaray SK,Others,No,5,Left,MidField
M. Bauer,18,Germany,58,SpVgg Greuther Fürth,Others,No,1,Right,Defence
S. High,17,England,58,Huddersfield Town,Others,No,3,Right,MidField
M. Obiero,17,England,58,Huddersfield Town,Others,No,3,Right,Forward
T. Abraham,17,England,58,Fulham,Others,No,4,Right,Forward
A. Curry,21,England,58,Hull City,Others,No,3,Left,Defence
L. Perrin,19,France,58,Olympique de Marseille,Others,No,2,Right,Defence
E. Flores,26,Chile,65,CD Universidad de Concepción,Others,No,1,Left,Defence
E. Mastrolía,27,Argentina,64,Club Atlético Talleres,Others,No,3,Left,GoalKeeper
B. Stuver,27,United States,64,New York City FC,Others,No,1,Right,GoalKeeper
J. McCrary,24,United States,63,Seattle Sounders FC,Others,No,1,Right,Defence
M. Ambrose,24,United States,63,Atlanta United,Others,No,1,Left,Defence
E. Gómez,24,Argentina,63,Rosario Central,Others,No,3,Left,Defence
B. Owundi Eko'o,24,Cameroon,63,Minnesota United FC,Others,No,1,Left,Defence
H. Silveira,25,Uruguay,62,Club Atlético Tigre,Others,No,3,Right,Forward
Yeremi Valerón,21,Spain,61,UD Las Palmas,Others,No,1,Left,Defence
B. Koglin,21,Germany,61,FC St. Pauli,Others,No,2,Left,Defence
S. Erimuya,20,Nigeria,61,Cádiz CF,Others,No,1,Right,Defence
B. Gaye,20,Gambia,61,DSC Arminia Bielefeld,Others,No,1,Right,GoalKeeper
Rubén Sánchez,23,Spain,61,Granada CF,Others,No,2,Left,Forward
Carlos Vicente,19,Spain,60,Real Zaragoza,Others,No,1,Right,Forward
B. Rowthorn,19,England,60,Southampton,Others,No,3,Right,MidField
G. Byers,22,Scotland,60,Swansea City,Others,No,4,Right,MidField
J. Italiano,16,Australia,58,Perth Glory,Others,No,1,Right,MidField
C. Kenna,33,Republic of Ireland,57,Bray Wanderers,Others,No,1,Left,Defence
R. Cretaro,36,Republic of Ireland,57,Sligo Rovers,Others,No,1,Right,Forward
J. Osobi?ski,18,Poland,51,Korona Kielce,Others,No,1,Right,GoalKeeper
J. García,19,Chile,51,Audax Italiano,Others,No,1,Right,GoalKeeper
P. Wieliczko,18,Poland,48,Wis?a P?ock,Others,No,1,Right,MidField
No Dong Geon,26,Korea Republic,65,Suwon Samsung Bluewings,Others,No,2,Right,GoalKeeper
Kim Nam Chun,29,Korea Republic,65,FC Seoul,Others,No,2,Right,Defence
T. Ogihara,26,Japan,64,Yokohama F. Marinos,Others,No,2,Left,MidField
S. Henriksen,26,Denmark,64,Vendsyssel FF,Others,No,3,Right,Defence
K. Nakamura,25,Japan,63,V-Varen Nagasaki,Others,No,1,Right,Forward
C. Pain,24,Australia,63,Central Coast Mariners,Others,No,1,Left,Forward
M. Hvilsom,25,Denmark,63,SønderjyskE,Others,No,3,Right,Forward
N. Mileusni?,24,Australia,63,Adelaide United,Others,No,1,Right,Forward
D. Watari,25,Japan,63,Sanfrecce Hiroshima,Others,No,3,Right,Forward
S. Kind Mikalsen,25,Norway,63,Lillestrøm SK,Others,No,1,Left,Defence
S. Murray,24,Republic of Ireland,63,Vejle Boldklub,Others,No,2,Right,MidField
O. Berg,24,Norway,63,GIF Sundsvall,Others,No,1,Right,MidField
D. Kozica,25,Sweden,63,Djurgårdens IF,Others,No,1,Right,MidField
P. Wiegers,28,Germany,64,SG Dynamo Dresden,Others,No,4,Right,GoalKeeper
K. Müller,27,Germany,64,FC St. Pauli,Others,No,3,Right,GoalKeeper
C. Gutiérrez,19,Mexico,58,U.N.A.M.,Others,No,1,Right,MidField
Altamirano,21,Spain,57,Real Betis,Others,No,2,Right,Forward
I. Ogbu,18,Nigeria,60,Rosenborg BK,Others,No,1,Right,Defence
C. Holse,19,Denmark,59,FC København,Others,No,2,Left,MidField
Fabio,29,Brazil,66,Gamba Osaka,Others,No,4,Right,Defence
Hwang Seok Ho,29,Korea Republic,66,Shimizu S-Pulse,Others,No,2,Right,Defence
J. Bøge,28,Denmark,66,Hobro IK,Others,No,3,Right,Defence
S. Fischer,29,Netherlands,66,Vendsyssel FF,Others,No,4,Right,Defence
J. Oumari,29,Lebanon,66,Sagan Tosu,Others,No,2,Left,Defence
C. Telo,28,Sweden,66,Molde FK,Others,No,2,Right,Defence
Y. Maruyama,29,Japan,66,Nagoya Grampus,Others,No,3,Left,Defence
J. Juelsgård,29,Denmark,66,Aarhus GF,Others,No,4,Left,Defence
H. Radetinac,32,Serbia,66,Djurgårdens IF,Others,No,2,Right,Forward
J. Absalonsen,32,Denmark,66,SønderjyskE,Others,No,4,Left,MidField
Song Jin Hyung,30,Korea Republic,65,FC Seoul,Others,No,2,Right,MidField
M. Lund Nielsen,30,Denmark,65,Sarpsborg 08 FF,Others,No,2,Right,MidField
Yang Xiaotian,28,China PR,63,Jiangsu Suning FC,Others,No,4,Left,Defence
Feng Zhuoyi,29,China PR,62,Henan Jianye FC,Others,No,3,Right,MidField
Guo Quanbo,20,China PR,60,Beijing Sinobo Guoan FC,Others,No,1,Right,GoalKeeper
S. Ntiya-Ntiya,21,South Africa,60,Kaizer Chiefs,Others,No,1,Left,Defence
Luo Xin,28,China PR,62,Beijing Renhe FC,Others,No,2,Right,Defence
Guo Hao,25,China PR,61,Tianjin TEDA FC,Others,No,2,Right,MidField
Y. Roemer,16,Netherlands,59,VVV-Venlo,Others,No,1,Right,Forward
V. Burgoa,17,Argentina,59,Godoy Cruz,Others,No,1,Left,MidField
T. van den Belt,17,Netherlands,59,PEC Zwolle,Others,No,1,Right,MidField
A. Xhemajli,20,Kosovo,58,Neuchâtel Xamax,Others,No,1,Left,Defence
H. Muñoz,23,Mexico,62,Club Tijuana,Others,No,3,Right,Defence
P. Uscanga,27,Mexico,62,Querétaro,Others,No,2,Right,MidField
Raúl Sánchez,20,Spain,59,CD Leganés,Others,No,3,Left,MidField
A. Díaz,18,Mexico,57,Club Tijuana,Others,No,2,Right,Forward
Valverde,33,Spain,66,Extremadura UD,Others,No,2,Right,MidField
S. Freis,33,Germany,66, SSV Jahn Regensburg,Others,No,4,Right,MidField
S. O'Donnell,32,Republic of Ireland,65,Dundalk,Others,No,1,Left,MidField
S. Salviato,30,Italy,65,Padova,Others,No,1,Right,Defence
A. Longhi,29,Italy,65,Brescia,Others,No,1,Left,Defence
S. Madden,30,Republic of Ireland,65,St. Patrick's Athletic,Others,No,1,Right,Defence
M. Bruccini,32,Italy,65,Cosenza,Others,No,1,Right,MidField
L. Di Matteo,30,Italy,65,Lecce,Others,No,1,Left,Defence
P. Grazziani,23,Colombia,63,Alianza Petrolera,Others,No,1,Right,GoalKeeper
V. Méndez,18,Chile,62,Unión Española,Others,No,1,Right,MidField
J. Marulanda,22,Colombia,62,Itagüí Leones FC,Others,No,1,Right,Defence
A. Ryczkowski,21,Poland,61,Górnik Zabrze,Others,No,1,Right,MidField
M. Meneses,19,Chile,61,CD O'Higgins,Others,No,1,Right,MidField
S. Ruiz,20,Colombia,61,Envigado FC,Others,No,1,Left,Defence
D. Moreno,22,Colombia,61,Envigado FC,Others,No,1,Left,MidField
L. Compagnucci,22,Argentina,61,San Luis de Quillota,Others,No,1,Right,MidField
M. Orozco,32,United States,66,Lobos BUAP,Others,No,3,Right,Defence
S. Al Qumayzi,26,Saudi Arabia,64,Al Shabab,Others,No,6,Right,Defence
L. Martínez,31,Mexico,64,Tiburones Rojos de Veracruz,Others,No,2,Right,MidField
Y. Hamza,27,Saudi Arabia,64,Al Fateh,Others,No,6,Right,Defence
R. Sánchez,24,Mexico,63,Chicago Fire,Others,No,1,Right,GoalKeeper
D. Stojanovi?,24,FYR Macedonia,63,FC St. Gallen,Others,No,2,Left,GoalKeeper
H. Bonmann,24,Germany,63,TSV 1860 München,Others,No,1,Right,GoalKeeper
M. Hauptmeijer,21,Netherlands,62,PEC Zwolle,Others,No,1,Right,GoalKeeper
S. Gronsveld,22,Netherlands,62,FC Emmen,Others,No,1,Right,Defence
B. Kyere,23,Ghana,62,SC Fortuna Köln,Others,No,1,Right,Defence
F. Arkenberg,22,Germany,62,Hallescher FC,Others,No,1,Right,Defence
M. Reuvers,19,Netherlands,61,NAC Breda,Others,No,1,Right,MidField
E. Rueda,22,Argentina,61,Argentinos Juniors,Others,No,2,Right,Forward
I. Hajti?,20,Bosnia Herzegovina,61,FC Würzburger Kickers,Others,No,1,Right,Defence
L. Lauberbach,20,Germany,61,FSV Zwickau,Others,No,1,Right,Forward
M. Piccinocchi,23,Italy,61,FC Lugano,Others,No,1,Right,MidField
L. Cueto,22,Germany,61,SC Preußen Münster,Others,No,1,Left,MidField
D. Foulon,19,Belgium,61,Waasland-Beveren,Others,No,1,Left,Defence
F. Mac Allister,22,Argentina,61,Argentinos Juniors,Others,No,2,Right,MidField
J. Mder,21,Germany,61,FSV Zwickau,Others,No,1,Right,MidField
T. Bonga,21,Germany,61,FSV Zwickau,Others,No,1,Right,Forward
M. Rodas,21,Germany,61,FSV Zwickau,Others,No,1,Left,MidField
E. Bytyqi,21,Kosovo,61,FC Würzburger Kickers,Others,No,1,Right,Forward
A. Borkovic,19,Austria,61,FK Austria Wien,Others,No,1,Left,Defence
M. Kryeziu,21,Switzerland,61,FC Zürich,Others,No,2,Right,Defence
D. Esmel,20,Ivory Coast,60,1. FC Kaiserslautern,Others,No,1,Right,Forward
Emidio Hoffman,34,Brazil,69,Atlético Mineiro,Others,No,14,Right,Defence
Césario Figueirido,34,Brazil,69,Atlético Paranaense,Others,No,7,Left,Defence
Dilson Calegari,34,Brazil,66,Vitória,Others,No,4,Left,MidField
Ever Rodeiro,34,Brazil,66,Botafogo,Others,No,7,Right,MidField
G. Roberts,34,England,66,Wigan Athletic,Others,No,15,Left,MidField
R. Nagaki,30,Japan,66,Kashima Antlers,Others,No,4,Right,MidField
Choi Bo Kyung,30,Korea Republic,66,Jeonbuk Hyundai Motors,Others,No,3,Left,Defence
A. Jaakkola,31,Finland,65,Reading,Others,No,6,Right,GoalKeeper
Vasquão Junior,30,Brazil,64,Atlético Paranaense,Others,No,3,Right,Defence
K. Mensah,27,Denmark,64,Brøndby IF,Others,No,6,Left,Forward
Perceval Acunha,30,Brazil,64,América FC (Minas Gerais),Others,No,3,Right,Defence
Fachendinho,26,Brazil,62,Santos,Others,No,3,Right,Forward
B. Galindo,19,Mexico,61,Guadalajara,Others,No,2,Right,Defence
B. Álvarez,22,Mexico,61,Monarcas Morelia,Others,No,2,Left,Defence
T. Jacobsen,21,Germany,61,SV Werder Bremen,Others,No,3,Left,Defence
A. Zendejas,20,Mexico,60,Guadalajara,Others,No,4,Left,MidField
J. Issa,21,Saudi Arabia,60,Al Ittihad,Others,No,3,Right,MidField
P. Soko,20,Cameroon,60,Club Atlas,Others,No,2,Right,MidField
C. González,20,Mexico,60,Club Atlas,Others,No,2,Right,Defence
A. Majrashi,20,Saudi Arabia,60,Al Ahli,Others,No,3,Right,MidField
V. Rodríguez,23,Mexico,60,Club América,Others,No,7,Right,MidField
R. Sykes,19,England,59,Accrington Stanley,Others,No,1,Right,Defence
A. Morley,18,England,58,Rochdale,Others,No,1,Right,MidField
S. Wamangituka,18,Congo,58,Paris FC,Others,No,1,Right,Forward
L. Ardente,36,Argentina,72,San Martín de San Juan,Others,No,5,Right,GoalKeeper
D. Gordon,33,Jamaica,69,Karlsruher SC,Others,No,4,Right,Defence
G. Bojanich,33,Argentina,69,Argentinos Juniors,Others,No,6,Right,Defence
J. Sandoval,31,Uruguay,66,Argentinos Juniors,Others,No,4,Right,Defence
Jano,31,Spain,66,SV Mattersburg,Others,No,5,Right,MidField
A. Lukse,30,Austria,66,SCR Altach,Others,No,3,Right,GoalKeeper
A. Dercho,31,Germany,66,VfL Osnabrück,Others,No,2,Left,Defence
T. Wendel,29,Germany,65,VfL Sportfreunde Lotte,Others,No,1,Right,MidField
G. Treand,32,France,65,Neuchâtel Xamax,Others,No,2,Right,MidField
T. Röttger,32,Germany,65,SG Sonnenhof Großaspach,Others,No,2,Right,Forward
G. Castillejos,32,Argentina,65,San Martín de San Juan,Others,No,4,Right,Forward
J. Washausen,29,Germany,65,Hallescher FC,Others,No,1,Right,MidField
R. Janssen,28,Netherlands,65,VVV-Venlo,Others,No,2,Left,Defence
César Ortiz,29,Spain,65,SV Mattersburg,Others,No,5,Right,Defence
P. Salomon,30,Austria,64,SV Mattersburg,Others,No,5,Right,MidField
J. Galeano,29,Argentina,64,Club Atlético Aldosivi,Others,No,3,Right,MidField
J. Hammar,24,Sweden,63,BK Hcken,Others,No,1,Right,Defence
J. Tamimi,23,Jordan,63,GIF Sundsvall,Others,No,1,Right,Defence
Lee Dong Su,24,Korea Republic,62,Jeju United FC,Others,No,1,Right,MidField
J. Koutroumbis,20,Australia,62,Newcastle Jets,Others,No,1,Right,Defence
J. Murray,22,Australia,62,Central Coast Mariners,Others,No,1,Right,Forward
Seol Tae Soo,23,Korea Republic,62,Ulsan Hyundai FC,Others,No,1,Right,MidField
S. Sørli,22,Norway,62,Kristiansund BK,Others,No,1,Left,MidField
A. Vaikla,21,Estonia,62,Kristiansund BK,Others,No,1,Right,GoalKeeper
M. Frankoch,22,Denmark,62,Vendsyssel FF,Others,No,2,Right,MidField
S. Adekoya,22,United States,62,Vendsyssel FF,Others,No,2,Right,Forward
S. Czajkowski,21,Denmark,61,Vendsyssel FF,Others,No,2,Right,Forward
P. Michael,20,Nigeria,61,Vålerenga Fotball,Others,No,1,Right,Forward
M. Saito,19,Japan,61,Shonan Bellmare,Others,No,1,Right,MidField
R. Ça??ran,23,Turkey,60,Yeni Malatyaspor,Others,No,2,Right,MidField
B. Öztürk,22,Turkey,60,Antalyaspor,Others,No,2,Right,Defence
L. Ndenbe,18,Belgium,59,KV Oostende,Others,No,1,Left,Defence
H. Al Ghamdi,19,Saudi Arabia,58,Ettifaq FC,Others,No,2,Right,MidField
S. Roudet,37,France,69,Valenciennes FC,Others,No,3,Left,MidField
T. McMahon,32,England,66,Oxford United,Others,No,4,Right,Defence
J. Beckford,34,Jamaica,66,Bury,Others,No,5,Right,Forward
A. Considine,31,Scotland,65,Aberdeen,Others,No,2,Left,Defence
D. Jones,31,England,65,Notts County,Others,No,5,Left,Defence
C. Hussey,29,England,64,Cheltenham Town,Others,No,3,Left,Defence
T. Pope,32,England,64,Port Vale,Others,No,4,Right,Forward
C. Dagnall,32,England,64,Bury,Others,No,4,Right,Forward
O. Lancashire,29,England,64,Swindon Town,Others,No,4,Right,Defence
M. Done,29,Wales,64,Rochdale,Others,No,1,Left,Defence
S. Cummings,29,Jamaica,64,Doncaster Rovers,Others,No,2,Right,Defence
L. Collins,29,England,64,Forest Green Rovers,Others,No,4,Right,Defence
R. Flynn,29,Scotland,63,St. Mirren,Others,No,2,Right,MidField
M. Jones,30,England,63,Carlisle United,Others,No,3,Right,MidField
J. Bailey,29,England,63,Yeovil Town,Others,No,2,Right,MidField
J. Hanson,30,England,63,AFC Wimbledon,Others,No,2,Left,Forward
M. Byrne,29,Republic of Ireland,63,Gillingham,Others,No,2,Right,MidField
S. Miller,30,England,63,Crewe Alexandra,Others,No,4,Right,Forward
P. Anderson,29,England,63,Mansfield Town,Others,No,4,Right,MidField
J. O'Brien,30,Scotland,63,Bradford City,Others,No,3,Right,MidField
F. Russo,23,Argentina,62,RCD Mallorca,Others,No,1,Right,Defence
S. Griffin,23,Republic of Ireland,62,Cork City,Others,No,1,Left,Defence
G. Vicario,21,Italy,61,Venezia FC,Others,No,1,Right,GoalKeeper
G. Cardozo,20,Uruguay,61,Extremadura UD,Others,No,1,Right,Defence
F. Sgarbi,20,Italy,61,Perugia,Others,No,1,Right,Defence
D. Carr,24,England,61,Shamrock Rovers,Others,No,1,Right,Forward
M. Drennan,24,Republic of Ireland,61,Sligo Rovers,Others,No,1,Left,Forward
G. Bizzotto,21,Italy,60,Cittadella,Others,No,1,Left,Forward
A. Bianchimano,21,Italy,60,Perugia,Others,No,1,Right,Forward
Gori López,19,Spain,60,CF Reus Deportiu,Others,No,1,Right,MidField
Liu Junshuai,23,China PR,60,Shandong Luneng TaiShan FC,Others,No,2,Right,Defence
M. Kuttin,24,Austria,64,FC Admira Wacker Mödling,Others,No,2,Right,GoalKeeper
J. Vidovi?,29,Slovenia,64,SV Meppen,Others,No,1,Right,Defence
F. Schiller,28,Germany,64,VfL Osnabrück,Others,No,1,Right,Defence
M. Huber,28,Austria,64,TSV Hartberg,Others,No,2,Right,Defence
A. Özer,25,Turkey,64,Fortuna Sittard,Others,No,1,Right,GoalKeeper
S. Meusburger,24,Austria,63,FC Wacker Innsbruck,Others,No,2,Left,Defence
N. Pantaleone,25,Argentina,63,Patronato,Others,No,3,Left,Defence
M. Büyüksakarya,23,Germany,63,VfR Aalen,Others,No,1,Right,Defence
M. Maak,26,Austria,63,FC Wacker Innsbruck,Others,No,3,Right,Defence
J. Scherzer,22,Austria,63,FC Admira Wacker Mödling,Others,No,2,Left,Defence
D. Campos,22,Costa Rica,63,Chicago Fire,Others,No,1,Right,Defence
P. Siegl,24,Austria,63,TSV Hartberg,Others,No,2,Right,Defence
D. Wiebe,24,Germany,63,SC Preußen Münster,Others,No,1,Right,MidField
M. Jelavi?,24,Croatia,62,Royal Excel Mouscron,Others,No,2,Right,Forward
B. Mwila,24,Zambia,62,SCR Altach,Others,No,2,Right,Forward
F. Barceló,25,Uruguay,62,Patronato,Others,No,3,Right,Forward
Jefté,24,Spain,62,SV Mattersburg,Others,No,3,Right,Forward
M. Caranta,39,Argentina,65,Club Atlético Talleres,Others,No,2,Right,GoalKeeper
F. Cernuto,26,Italy,63,Venezia FC,Others,No,1,Right,Defence
N. Falasco,24,Italy,63,Perugia,Others,No,1,Left,Defence
K. Dermaku,26,Albania,63,Cosenza,Others,No,1,Left,Defence
G. Buckley,24,Republic of Ireland,62,Cork City,Others,No,1,Right,MidField
M. Bülter,25,Germany,62,1. FC Magdeburg,Others,No,3,Right,MidField
M. Koné,24,France,62,ESTAC Troyes,Others,No,1,Right,Defence
I. Varone,25,Italy,62,Cosenza,Others,No,1,Right,MidField
R. Murray,26,Republic of Ireland,62,Sligo Rovers,Others,No,1,Right,Forward
R. Herrmann,24,Germany,62,FC Erzgebirge Aue,Others,No,1,Left,MidField
J. Karlstrøm,21,Norway,60,Tromsø IL,Others,No,1,Right,GoalKeeper
N. Diallo,22,France,60,Stade Rennais FC,Others,No,3,Left,Defence
G. Nyamsi,21,France,60,Stade Rennais FC,Others,No,3,Right,Defence
A. Hadzic,19,Norway,59,IK Start,Others,No,1,Left,MidField
O. Brynhildsen,19,Norway,59,Stabæk Fotball,Others,No,1,Right,MidField
M. Trovato,20,Italy,58,Cosenza,Others,No,1,Right,Forward
M. Putnocký,33,Slovakia,68,Lech Pozna?,Others,No,3,Right,GoalKeeper
C. Bejarano,33,Equatorial Guinea,68,América de Cali,Others,No,1,Right,GoalKeeper
L. Álvarez,33,Uruguay,68,Rionegro Águilas,Others,No,1,Right,GoalKeeper
C. Cortés,34,Chile,68,CD Palestino,Others,No,2,Left,Forward
J. Hernández,32,Colombia,67,Deportivo Pasto,Others,No,1,Right,MidField
T. Ho?ota,27,Poland,65,Pogo? Szczecin,Others,No,2,Right,MidField
Dani Suárez,28,Spain,65,Górnik Zabrze,Others,No,2,Right,Defence
J. Guillermo,28,Colombia,65,Deportivo Pasto,Others,No,1,Right,MidField
M. Budzi?ski,27,Poland,65,Cracovia,Others,No,2,Right,MidField
A. Palacios,26,Colombia,65,Deportivo Pasto,Others,No,1,Right,MidField
G. Martínez,29,Chile,64,San Luis de Quillota,Others,No,1,Right,Forward
F. Reynero,29,Chile,64,Curicó Unido,Others,No,1,Right,Forward
S. Sosa,19,Argentina,59,River Plate,Others,No,1,Right,MidField
M. Matras,27,Poland,64,Zag??bie Lubin,Others,No,2,Right,MidField
M. Kirkeskov,26,Denmark,64,Piast Gliwice,Others,No,2,Left,Defence
D. González,28,Colombia,64,Atlético Bucaramanga,Others,No,1,Right,Defence
J. Bartkowski,26,Poland,64,Wis?a Kraków,Others,No,2,Right,Defence
J. Valencia,25,Colombia,64,Rionegro Águilas,Others,No,1,Right,GoalKeeper
J. Riquett,28,Colombia,64,La Equidad,Others,No,1,Right,Defence
K. Osyra,25,Poland,63,Mied? Legnica,Others,No,1,Right,Defence
A. Gürleyen,19,Germany,58,1. FSV Mainz 05,Others,No,1,Right,Defence
T. Odusina,18,England,58,Norwich City,Others,No,2,Right,Defence
J. Osei-Tutu,19,England,58,Arsenal,07Arsenal,Yes,4,Right,Defence
Y. Emghames,20,Germany,58,Hannover 96,Others,No,3,Left,MidField
T. Kucz,18,Poland,59,Bayer 04 Leverkusen,Others,No,2,Right,GoalKeeper
E. Ferigra,19,Ecuador,59,Torino,Others,No,2,Right,Defence
L. Krüger,18,Germany,58,RB Leipzig,Others,No,3,Right,Forward
C. Trejo,18,Mexico,58,Club Atlas,Others,No,2,Right,Forward
L. Olascoaga,26,Mexico,63,Lobos BUAP,Others,No,2,Left,Defence
K. Al Kaabi,26,Saudi Arabia,62,Al Shabab,Others,No,5,Right,MidField
H. Eisa,25,Burkina Faso,61,Ohod Club,Others,No,4,Right,Forward
U. Türker,20,Turkey,57,Alanyaspor,Others,No,2,Right,MidField
Han Peng,34,China PR,65,Beijing Renhe FC,Others,No,4,Right,Forward
Rao Weihui,29,China PR,63,Beijing Renhe FC,Others,No,3,Left,Defence
N. Alioui,19,France,59,KSV Cercle Brugge,Others,No,1,Right,MidField
F. Agu,18,Germany,59,VfL Osnabrück,Others,No,1,Right,Defence
Hélton Carvalhal,26,Brazil,62,Ceará Sporting Club,Others,No,4,Right,Forward
Chen Hao,25,China PR,61,Henan Jianye FC,Others,No,2,Right,Defence
C. Castro,21,Mexico,61,Tiburones Rojos de Veracruz,Others,No,1,Right,Defence
Zhang Xiaobin,24,China PR,60,Jiangsu Suning FC,Others,No,3,Right,MidField
A. Al Shammary,22,Saudi Arabia,60,Al Shabab,Others,No,4,Left,MidField
J. Löwe,19,Germany,58,SG Dynamo Dresden,Others,No,1,Right,MidField
Rubén,34,Spain,68,CA Osasuna,Others,No,3,Right,GoalKeeper
G. Herrera,34,Argentina,67,Rosario Central,Others,No,6,Right,Forward
E. Alexander,30,United States,65,Houston Dynamo,Others,No,2,Right,MidField
T. Mickel,29,Germany,65,Hamburger SV,Others,No,3,Right,GoalKeeper
M. Y?ld?r?m,31,Turkey,64,Yeni Malatyaspor,Others,No,3,Right,MidField
M. Dabo,31,France,64,Stade Malherbe Caen,Others,No,5,Right,Defence
E. Hurtado,27,United States,63,Vancouver Whitecaps FC,Others,No,2,Right,Forward
A. Hsissane,27,Morocco,63,Nîmes Olympique,Others,No,3,Right,MidField
G. Compagnucci,26,Argentina,63,Unión de Santa Fe,Others,No,3,Right,MidField
J. Vargas,23,Costa Rica,62,Deportes Tolima,Others,No,1,Right,Defence
M. Sak,28,Turkey,62,MKE Ankaragücü,Others,No,4,Right,MidField
K. Yamaguchi,22,Japan,61,Kashima Antlers,Others,No,2,Right,Forward
Vasco Paciência,18,Portugal,57,Boavista FC,Others,No,1,Right,Forward
M. Antkowiak,18,Poland,50,Lincoln City,Others,No,1,Right,GoalKeeper
D. Mackay,21,Scotland,49,Kilmarnock,Others,No,1,Right,GoalKeeper
Sergio Tienza,21,Spain,60,Real Betis,Others,No,2,Right,GoalKeeper
K. Enghardt,26,Denmark,64,Randers FC,Others,No,3,Left,Defence
H. Delbridge,26,Australia,64,Melbourne City FC,Others,No,3,Left,Defence
